transaction_id,transaction_status,payment_currency,card_country_code,Transaction_detail
895,abandoned,NGN,NULL,NULL
896,abandoned,NGN,NULL,NULL
897,abandoned,NGN,NULL,NULL
898,abandoned,USD,NULL,NULL
899,abandoned,NGN,NULL,NULL
900,success,NGN,NG,"Naira transactions with Naira card"
901,success,NGN,NG,"Naira transactions with Naira card"
902,success,NGN,NG,"Naira transactions with Naira card"
903,success,USD,GB,"Dollar transactions with foreign card"
904,success,NGN,NG,"Naira transactions with Naira card"
905,abandoned,NGN,GB,"Naira transactions with foreign card"
906,success,NGN,NG,"Naira transactions with Naira card"
907,success,NGN,US,"Naira transactions with foreign card"
908,reversed,NGN,NG,"Naira transactions with Naira card"
909,success,USD,GB,"Dollar transactions with foreign card"
910,success,NGN,NG,"Naira transactions with Naira card"
911,success,NGN,NG,"Naira transactions with Naira card"
912,success,NGN,NG,"Naira transactions with Naira card"
913,success,NGN,NG,"Naira transactions with Naira card"
914,abandoned,USD,NULL,NULL
915,success,NGN,NG,"Naira transactions with Naira card"
916,success,NGN,NG,"Naira transactions with Naira card"
917,success,NGN,NG,"Naira transactions with Naira card"
918,abandoned,NGN,NULL,NULL
919,success,NGN,NG,"Naira transactions with Naira card"
920,abandoned,NGN,NULL,NULL
921,failed,NGN,NG,"Naira transactions with Naira card"
922,success,NGN,NULL,NULL
923,abandoned,NGN,NULL,NULL
924,abandoned,NGN,NULL,NULL
925,success,NGN,NG,"Naira transactions with Naira card"
926,failed,NGN,NG,"Naira transactions with Naira card"
927,abandoned,NGN,NULL,NULL
928,abandoned,NGN,NULL,NULL
929,abandoned,NGN,NULL,NULL
930,success,NGN,NG,"Naira transactions with Naira card"
931,abandoned,NGN,NULL,NULL
932,abandoned,NGN,NULL,NULL
933,abandoned,NGN,NULL,NULL
934,abandoned,NGN,NULL,NULL
935,abandoned,NGN,NULL,NULL
936,success,NGN,NULL,NULL
937,failed,USD,NG,"Dollar transactions with Naira card"
938,failed,NGN,NG,"Naira transactions with Naira card"
939,success,NGN,NG,"Naira transactions with Naira card"
940,success,USD,US,"Dollar transactions with foreign card"
941,failed,USD,US,"Dollar transactions with foreign card"
942,success,NGN,NG,"Naira transactions with Naira card"
943,success,NGN,NG,"Naira transactions with Naira card"
944,success,NGN,GB,"Naira transactions with foreign card"
945,success,NGN,NG,"Naira transactions with Naira card"
946,abandoned,NGN,NG,"Naira transactions with Naira card"
947,success,NGN,NG,"Naira transactions with Naira card"
948,abandoned,USD,NULL,NULL
949,success,NGN,NG,"Naira transactions with Naira card"
950,abandoned,NGN,NULL,NULL
951,success,NGN,NG,"Naira transactions with Naira card"
952,abandoned,NGN,NULL,NULL
953,failed,NGN,NG,"Naira transactions with Naira card"
954,abandoned,NGN,NULL,NULL
955,abandoned,NGN,NULL,NULL
956,failed,NGN,NG,"Naira transactions with Naira card"
957,success,USD,US,"Dollar transactions with foreign card"
958,abandoned,USD,NULL,NULL
959,abandoned,NGN,NULL,NULL
960,abandoned,NGN,NG,"Naira transactions with Naira card"
961,failed,NGN,NG,"Naira transactions with Naira card"
962,success,USD,GB,"Dollar transactions with foreign card"
963,success,NGN,NG,"Naira transactions with Naira card"
964,abandoned,NGN,NULL,NULL
965,abandoned,USD,NULL,NULL
966,success,NGN,NG,"Naira transactions with Naira card"
967,abandoned,NGN,NULL,NULL
968,success,NGN,NG,"Naira transactions with Naira card"
969,success,NGN,NG,"Naira transactions with Naira card"
970,abandoned,USD,US,"Dollar transactions with foreign card"
971,success,NGN,IN,"Naira transactions with foreign card"
972,abandoned,NGN,NG,"Naira transactions with Naira card"
973,failed,NGN,US,"Naira transactions with foreign card"
974,success,NGN,GB,"Naira transactions with foreign card"
975,success,NGN,NG,"Naira transactions with Naira card"
976,abandoned,USD,NULL,NULL
977,abandoned,NGN,NULL,NULL
978,abandoned,NGN,NULL,NULL
979,failed,NGN,NG,"Naira transactions with Naira card"
980,abandoned,NGN,NULL,NULL
981,abandoned,NGN,NULL,NULL
982,abandoned,USD,US,"Dollar transactions with foreign card"
983,success,NGN,NG,"Naira transactions with Naira card"
984,success,NGN,NG,"Naira transactions with Naira card"
985,failed,NGN,NG,"Naira transactions with Naira card"
986,abandoned,NGN,NULL,NULL
987,success,NGN,NG,"Naira transactions with Naira card"
988,abandoned,NGN,NULL,NULL
989,success,NGN,NG,"Naira transactions with Naira card"
990,success,NGN,NG,"Naira transactions with Naira card"
991,abandoned,NGN,NULL,NULL
992,success,NGN,NG,"Naira transactions with Naira card"
993,success,NGN,NG,"Naira transactions with Naira card"
994,failed,NGN,NG,"Naira transactions with Naira card"
995,success,NGN,NG,"Naira transactions with Naira card"
996,success,USD,GB,"Dollar transactions with foreign card"
997,abandoned,NGN,NULL,NULL
998,success,NGN,NG,"Naira transactions with Naira card"
999,success,NGN,NG,"Naira transactions with Naira card"
1000,abandoned,NGN,NULL,NULL
